gregobase_id	Hudelmaier code
16587	E1I
16588	E1H
	E1N1A1
	E1N1A2
16589	E1N1A3
	E1N1R1
16717	E1N1R2
	E1N1R3
	E1N2A1
	E1N2A2
	E1N2A3
	E1N2R1
	E1N2R2
	E1N2R3
16590	E1N3A1
16591	E1N3A2
	E1N3A3
	E1N3R1
16715	E1N3R2
16593	E1F2R1
16594	E1F2R2
16595	E1F2R3
16596	E1F3R1
16597	E1F3R2
16598	E1F3R3
16599	E1F4R1
16600	E1F4R2
16601	E1F4R3
16602	E1F5R1
16603	E1F5R2
16604	E1F5R3
16605	E1F6R1
16606	E1F6R2
16607	E1F6R3
16608	E1F7R1
16609	E1F7R2
16610	E1F7R3
16611	E2N2R1
16612	E2N2R2
16613	E2N2R3
16614	E2N3R1
16615	E2N3R2
16616	E2F2R1
16617	E2F2R2
16618	E2F2R3
14259	7GN1R1
14260	7GN1R2
14261	7GN1R3
14263	7GN2R1
14264	7GN2R2
14265	7GN2R3
14266	7GN3R1
14267	7GN3R2
14268	7GN3R3
14269	7GF2R1
14270	7GF2R2
14280	6GN1R1
14281	6GN1R2
14282	6GN1R3
14283	6GN2R1
14285	6GN2R2
14298	6GN2R3
14299	6GN3R1
14301	6GN3R2
14313	6GN3R3
14317	6GF2R1
14321	6GF2R2
14324	5GN1R1
14325	5GN1R2
14326	5GN1R3
14327	5GN2R1
14328	5GN2R2
14329	5GN2R3
14330	5GN3R1
14331	5GN3R2
14332	5GN3R3
14333	5GF2R1
14334	5GF2R2
14335	5GF5R1
14343	Q1N1R1
14344	Q1N1R2
14342	Q1N1R3
14341	Q1N2R1
14340	Q1N2R2
14339	Q1N2R3
14338	Q1N3R1
14337	Q1N3R2
14336	Q1N3R3
14345	Q1F5R1
14346	Q1F7R3
14723	Q2N1R1
14724	Q2N1R2
14725	Q2N1R3
14726	Q2N2R1
14727	Q2N2R2
14728	Q2N2R3
14965	Q2N3R1
14966	Q2N3R2
14967	Q2N3R3
14968	Q2F2R1
14969	Q2F2R2
14970	Q2F7R1
14971	Q3N1R1
14972	Q3N1R2
14973	Q3N1R3
14974	Q3N2R1
14975	Q3N2R2
14976	Q3N2R3
14977	Q3N3R1
14978	Q3N3R2
14979	Q3N3R3
14981	Q3F2R1
14982	Q3F2R2
14983	Q3F2R3
14984	Q3F3R1
15007	Q4N1R1
15008	Q4N1R2
15009	Q4N1R3
15010	Q4N2R1
15011	Q4N2R2
15012	Q4N2R3
15013	Q4N3R1
15014	Q4N3R2
15015	Q4N3R3
15016	Q4F2R1
15017	Q4F2R2
15018	Q4F2R3
15019	Q4F3R1
15020	Q4F3R2
15066	Q5N1R1
15067	Q5N1R2
15068	Q5N1R3
15069	Q5N2R1
15070	Q5N2R2
15071	Q5N2R3
15072	Q5N3R1
15073	Q5N3R2
15074	Q5N3R3
15075	Q5F2R1
15076	Q5F2R2
15077	Q5F2R3
15078	Q5F3R1
15079	Q5F3R2
15080	Q5F3R3
15094	Q6N1R1
15095	Q6N1R2
15096	Q6N1R3
15097	Q6N2R1
15098	Q6N2R2
15099	Q6N2R3
15100	Q6N3R1
15101	Q6N3R2
15102	Q6N3R3
15103	Q6F2R1
15104	Q6F2R2
15105	Q6F2R3
15106	Q6F3R1
15107	Q6F3R2
15108	Q6F3R3
15111	Q6F5N1A1
15112	Q6F5N1A2
15113	Q6F5N1A3
15120	Q6F5N1R1
15121	Q6F5N1R2
15122	Q6F5N1R3
15114	Q6F5N2A1
15115	Q6F5N2A2
15116	Q6F5N2A3
15123	Q6F5N2R1
15124	Q6F5N2R2
15125	Q6F5N2R3
15117	Q6F5N3A1
15118	Q6F5N3A2
15119	Q6F5N3A3
15126	Q6F5N3R1
15127	Q6F5N3R2
15128	Q6F5N3R3
15129	Q6F6N1A1
15130	Q6F6N1A2
15131	Q6F6N1A3
15139	Q6F6N1R1
15140	Q6F6N1R2
15141	Q6F6N1R3
15132	Q6F6N2A1
15134	Q6F6N2A2
15135	Q6F6N2A3
15143	Q6F6N2R1
15144	Q6F6N2R2
15145	Q6F6N2R3
15136	Q6F6N3A1
15137	Q6F6N3A2
15138	Q6F6N3A3
15146	Q6F6N3R1
15147	Q6F6N3R2
15148	Q6F6N3R3
15151	Q6F7N1A1
15152	Q6F7N1A2
15153	Q6F7N1A3
15160	Q6F7N1R1
15161	Q6F7N1R2
15162	Q6F7N1R3
15154	Q6F7N2A1
15155	Q6F7N2A2
15156	Q6F7N2A3
15163	Q6F7N2R1
15164	Q6F7N2R2
15165	Q6F7N2R3
15157	Q6F7N3A1
15158	Q6F7N3A2
15159	Q6F7N3A3
15166	Q6F7N3R1
15167	Q6F7N3R2
15168	Q6F7N3R3
15169	P0I
10036	P0A1
10037	P0A2
15170	P0A3
10062	P0R1
10059	P0R2
10058	P0F2R1
10063	P0F2R2
15171	P0F3R1
15172	P0F3R2
15173	P0F4R1
10038	P0F4R2
10042	P0F5R1
10044	P0F5R2
10041	P0F6R1
10045	P0F6R2
10052	P0F7R1
10051	P0F7R2
10057	P1N1R2
10158	P3N1R1
10160	P3N1R2
10161	P3N1R3
10162	P3N2R1
10163	P3N2R2
10165	P3N2R3
10167	P3N3R1
10168	P3N3R2
10174	P3F2R1
10173	P3F2R2
10181	P3F3R1
10197	P3F3R2
10199	P3F4R1
10205	P4N1R1
10207	P4N1R2
10210	P4N1R3
10213	P4N2R1
10214	P4N2R2
10215	P4N2R3
10216	P4N3R1
10217	P4N3R2
10218	P4F2R1
10220	P4F2R2
10234	P5F5I
10252	P5F5H
10251	P5F5N1A1
10253	P5F5N1A2
10257	P5F5N1A3
10259	P5F5N1R1
10260	P5F5N1R2
10262	P5F5N1R3
10263	P5F5N2A1
10264	P5F5N2A2
10265	P5F5N2A3
10266	P5F5N2R1
10267	P5F5N2R2
10270	P5F5N2R3
10271	P5F5N3A1
10272	P5F5N3A2
10273	P5F5N3A3
10274	P5F5N3R1
10276	P5F5N3R2
10297	P6N3R2
15214	P7I
15231	P7H
15215	P7A1
15216	P7A2
15217	P7A3
15218	P7R1
15219	P7R2
15220	P7F2R1
15221	P7F2R2
15222	P7F3R1
15223	P7F3R2
15224	P7F4R1
15225	P7F4R2
10327	P7F5R1
15226	P7F5R2
15227	P7F6R1
15228	P7F6R2
10347	H1I
10348	H1H
10349	H1N1A1
10350	H1N1A2
10351	H1N1A3
15257	H1N1R1
15258	H1N1R2
15259	H1N1R3
10352	H1N2A1
10353	H1N2A2
10354	H1N2A3
15260	H1N2R1
10340	H1N2R2
15261	H1N2R3
10355	H1N3A1
10356	H1N3A2
10357	H1N3A3
15262	H1N3R1
15307	H1F2R1
15308	H1F2R2
15309	H1F2R3
10344	H1F3R1
15310	H1F3R2
15311	H1F3R3
15312	H1F4R1
15313	H1F4R2
15314	H1F4R3
15320	H1F5I
15321	H1F5I2
15322	H1F5H
10375	H1F5N1A1
10376	H1F5N1A2
15323	H1F5N1A3
10370	H1F5N1R1
15324	H1F5N1R2
10371	H1F5N1R3
15325	H1F5N2A1
15326	H1F5N2A2
15327	H1F5N2A3
10369	H1F5N2R1
10372	H1F5N2R2
10364	H1F5N2R3
15328	H1F5N3A1
15329	H1F5N3A2
15330	H1F5N3A3
10373	H1F5N3R1
10374	H1F5N3R2
15331	H2F6I
15332	H2F6I2
15333	H2F6H
15334	H2F6N1A1
15335	H2F6N1A2
15336	H2F6N1A3
15343	H2F6N1R1
15344	H2F6N1R2
15345	H2F6N1R3
15337	H2F6N2A1
15338	H2F6N2A2
15339	H2F6N2A3
15346	H2F6N2R1
15347	H2F6N2R2
15348	H2F6N2R3
15340	H2F6N3A1
15341	H2F6N3A2
15342	H2F6N3A3
15349	H2F6N3R1
15350	H2F6N3R2
15351	H4F2R1
15352	H4F3R1
15353	H4F3R2
15355	08H1N1R1
15356	08H1N1R2
15357	08H1N1R3
15358	08H1N2R1
15359	08H1N2R2
15360	08H1N2R3
15361	08H1N3R1
15362	08H1F2R1
15363	08H1F2R2
15364	08H1F2R3
15365	08H1F3R1
15369	09H1N1R1
15371	09H1N1R2
15370	09H1N1R3
15372	09H1N2R1
15373	09H1N2R2
15374	09H1N2R3
15375	09H1N3R1
15376	09H1F2R1
15377	09H1F2R2
15378	09H3N1R1
15379	09H3N1R2
15380	09H3N1R3
15381	09H3N2R1
15382	09H3N2R2
15384	09H3N2R3
15383	09H3N3R1
15385	09H4N1R1
15386	09H4N1R3
15387	09H4N2R1
15388	09H4N2R2
15389	09H4N2R3
15390	09H4N3R1
15391	09H5N1R1
15392	09H5N1R3
15393	09H5N2R1
15402	10H1N1R1
15403	10H1N1R2
15404	10H1N1R3
15405	10H1N2R1
15406	10H1N2R2
15407	10H1N2R3
15408	10H1N3R1
15410	10H1F2R1
15411	10H1F2R2
15412	10H1F2R3
15413	10H1F3R1
15414	10H1F3R2
15415	10H1F3R3
15417	11H1N1R2
15418	11H1N1R3
15420	11H1N2R1
15422	11H1N2R2
15423	11H1N2R3
15424	11H1N3R1
15457	11H1F2R1
15458	11H1F2R2
15459	11H1F2R3
15460	11H1F3R1
15461	11H1F3R2
15462	11H1F3R3
15463	11H1F4R1
17120	1130N1A1
17121	1130N1A2
17122	1130N1A3
17112	1130N1R1
17113	1130N1R2
17114	1130N1R3
17123	1130N2A1
17124	1130N2A2
17125	1130N2A3
17115	1130N2R1
17116	1130N2R2
17117	1130N2R3
17126	1130N3A1
17127	1130N3A2
17128	1130N3A3
17118	1130N3R1
17119	1130N3R2
17129	1208I
17130	1208H
11363	1208N1A1
11364	1208N1A2
11365	1208N1A3
11366	1208N1R1
11367	1208N1R2
11368	1208N1R3
11369	1208N2A1
11370	1208N2A2
11371	1208N2A3
11372	1208N2R1
11373	1208N2R2
11374	1208N2R3
11375	1208N3A1
11376	1208N3A2
11377	1208N3A3
11378	1208N3R1
11379	1208N3R2
17132	1213N2R1
17133	1213N2R2
17134	1213N2R3
17135	0118I
17136	0118H
17137	0118N1R1
17138	0118N1R2
17139	0118N1R3
17140	0118N2R1
17141	0118N2R2
17142	0118N2R3
17143	0118N3R1
17144	0118N3R2
17148	0121N1A1
17149	0121N1A2
17150	0121N1A3
17157	0121N1R1
17158	0121N1R2
17159	0121N1R3
17151	0121N2A1
17152	0121N2A2
17153	0121N2A3
17160	0121N2R1
17161	0121N2R2
17162	0121N2R3
17154	0121N3A1
17155	0121N3A2
17156	0121N3A3
17163	0121N3R1
17164	0121N3R2
17184	0125I
17185	0125H
17189	0125N1A1
17190	0125N1A2
17191	0125N1A3
17199	0125N1R1
17200	0125N1R2
17201	0125N1R3
17192	0125N2A1
17193	0125N2A2
17194	0125N2A3
17202	0125N2R1
17203	0125N2R2
17204	0125N2R3
17196	0125N3A1
17197	0125N3A2
17198	0125N3A3
17205	0125N3R1
17206	0125N3R2
17147	0130H
	0202I
16970	0202N1R1
17251	0202N1R2
17252	0202N1R3
17253	0202N2R1
17254	0202N2R2
17255	0202N2R3
17256	0202N3R1
17257	0202N3R2
17280	0205N1A1
17281	0205N1A2
17282	0205N1A3
17273	0205N1R1
17274	0205N1R2
17275	0205N1R3
17283	0205N2A1
17284	0205N2A2
17285	0205N2A3
17276	0205N2R1
17277	0205N2R2
17278	0205N2R3
17286	0205N3A1
17287	0205N3A2
17288	0205N3A3
9722	0205N3R1
17279	0205N3R2
17129	0211I
17297	0211H
	0211N1A1
17298	0211N1A2
17299	0211N1A3
	0211N1R1
	0211N1R2
	0211N1R3
17300	0211N2A1
	0211N2A2
	0211N2A3
	0211N2R1
	0211N2R2
	0211N2R3
	0211N3A1
	0211N3A2
	0211N3A3
	0211N3R1
	0211N3R2
17301	0212H
17309	0319I
17310	0319H
17311	0319N1A1
17312	0319N1A2
17313	0319N1A3
17314	0319N1R1
17321	0319N1R2
17322	0319N1R3
17315	0319N2A1
17316	0319N2A2
17317	0319N2A3
17323	0319N2R1
17324	0319N2R2
17325	0319N2R3
17318	0319N3A1
17319	0319N3A2
17320	0319N3A3
17326	0319N3R1
17327	0319N3R2
17335	0324I
17336	0324H
	0324N1A1
	0324N1A2
	0324N1A3
	0324N1R1
	0324N1R2
	0324N1R3
	0324N2A1
	0324N2A2
	0324N2A3
	0324N2R1
	0324N2R2
	0324N2R3
17337	0324N3A1
17338	0324N3A2
	0324N3A3
17339	0324N3R1
17340	0324N3R2
17342	0325I
17341	0325N1R1
17343	0325N1R2
17344	0325N1R3
17345	0325N2R1
17346	0325N2R2
17347	0325N2R3
17060	0325N3R1
17340	0325N3R2
17348	Q5F6I
17349	Q5F6H
17350	Q5F6N1A1
16882	Q5F6N1A2
	Q5F6N1A3
16800	Q5F6N1R1
16801	Q5F6N1R2
17351	Q5F6N1R3
16802	Q5F6N2A1
16804	Q5F6N2A2
16805	Q5F6N2A3
16811	Q5F6N2R1
16844	Q5F6N2R2
16845	Q5F6N2R3
16846	Q5F6N3A1
16847	Q5F6N3A2
17354	Q5F6N3A3
	Q5F6N3R1
17355	Q5F6N3R2
17356	Q6F4R1
17357	0413H
17358	P2F4I
17359	P2F4H
	P2F4N1A
	P2F4N1R1
17322	P2F4N1R2
	P2F4N1R3
	P2F4N2A
	P2F4N2R1
	P2F4N2R2
	P2F4N2R3
17360	P2F4N3A
17361	P2F4N3R1
17362	P2F4N3R2
17363	0503I
14115	0503H
16872	0503N1A
10646	0503N1R1
17364	0503N1R2
17365	0503N1R3
16873	0503N2A
16874	0503N2R1
16875	0503N2R2
17366	0503N2R3
17367	0503N3A
17368	0503N3R1
17369	0503N3R2
17370	0508H
17371	0508N1A
17374	0508N1R1
17375	0508N1R2
17376	0508N1R3
17372	0508N2A
17377	0508N2R1
17378	0508N2R2
17379	0508N2R3
17373	0508N3A
17380	0508N3R1
17381	0508N3R2
17382	0518H
17383	0619H
17384	0624I
17385	0624H
17386	0624N1A1
17387	0624N1A2
17388	0624N1A3
17395	0624N1R1
17396	0624N1R2
17397	0624N1R3
17389	0624N2A1
17390	0624N2A2
17391	0624N2A3
17398	0624N2R1
17399	0624N2R2
17400	0624N2R3
17392	0624N3A1
17393	0624N3A2
17394	0624N3A3
17401	0624N3R1
17402	0624N3R2
17403	0629N2R1
17036	0701I
17404	0701H
17037	0701N1A1
17044	0701N1A2
17058	0701N1A3
	0701N1R1
	0701N1R2
	0701N1R3
17059	0701N2A1
17064	0701N2A2
17065	0701N2A3
	0701N2R1
	0701N2R2
	0701N2R3
17405	0701N3A1
17406	0701N3A2
17407	0701N3A3
17408	0701N3R1
	0701N3R2
17409	0702I
	0702N1R1
17410	0702N1R3
17411	0702N2R1
17412	0702N2R3
17414	0707H
17415	0708I
17416	0708H
17417	0722I
17418	0722H
17419	0722N1R1
17420	0722N1R2
17421	0722N1R3
17422	0801N2R2
17423	0806I
17424	0806H
17426	0806N1A1
17427	0806N1A2
8186	0806N1A3
17428	0806N1R1
17429	0806N1R2
17430	0806N1R3
17431	0806N2A1
17432	0806N2A2
17433	0806N2A3
17434	0806N2R1
17435	0806N2R2
17436	0806N2R3
17437	0806N3A1
17438	0806N3A2
17439	0806N3A3
17440	0806N3R1
17441	0806N3R2
17442	0810I
17443	0810N1A1
17444	0810N1A2
17445	0810N1A3
17446	0810N1R1
17447	0810N1R2
17448	0810N1R3
17449	0810N2A1
17450	0810N2A2
17451	0810N2A3
17452	0810N2R1
17453	0810N2R2
17454	0810N2R3
17455	0810N3A1
17457	0810N3A2
17456	0810N3A3
17458	0810N3R1
17459	0810N3R2
17460	0815I
15775	0815N1A1
15778	0815N1A2
14126	0815N1A3
17461	0815N1R1
17462	0815N2R3
15779	0815N3R1
16408	0815N3R2
17463	0829N1R1
17464	0829N1R2
17465	0829N1R3
17466	0908I
17467	0908N1R1
17468	0908N1R2
17469	0908N1R3
17470	0908N2R1
17471	0908N2R2
17472	0908N2R3
17473	0914I
17474	0914N1A1
17475	0914N1A2
17476	0914N1A3
17477	0914N2A1
17478	0914N2A2
17479	0914N2A3
17480	0914N3A1
17481	0914N3A2
17482	0914N3A3
17483	0915I
17484	0915H
17485	0915N1A1
17486	0915N1A2
17487	0915N1A3
17490	0915N1R1
17491	0915N1R2
	0915N1R3
	0915N2A1
17488	0915N2A2
17489	0915N2A3
17492	0915N2R1
17493	0915N2R2
17494	0915N2R3
17495	0915N3A1
17496	0915N3A2
17497	0915N3A3
17498	0915N3R1
17499	0915N3R2
17501	0917H
16170	0929N1A1
16171	0929N1A2
16172	0929N1A3
16173	0929N2A1
16174	0929N2A2
16175	0929N2A3
16176	0929N3A1
16177	0929N3A2
16178	0929N3A3
17502	1002I
17503	1002H
17504	1002N1A1
17505	1002N1A2
17506	1002N1A3
17513	1002N1R1
17514	1002N1R2
17515	1002N1R3
17507	1002N2A1
17508	1002N2A2
17509	1002N2A3
17516	1002N2R1
17517	1002N2R2
17518	1002N2R3
17510	1002N3A1
17511	1002N3A2
17512	1002N3A3
17519	1002N3R1
17520	1002N3R2
17195	1007I
17207	1007H
17208	1007N1A1
17209	1007N1A2
17210	1007N1A3
	1007N1R1
17211	1007N1R2
17258	1007N2A1
17259	1007N2A2
17260	1007N2A3
	1007N2R1
	1007N2R2
17261	1007N3A1
17262	1007N3A2
17263	1007N3A3
17264	1007N3R1
17265	1007N3R2
	1011I
11309	1011H
	1011N1R1
17266	1011N1R2
17267	1011N1R3
	1011N2R1
	1011N2R2
	1011N2R3
17527	1011N3R1
17528	1015H
17529	1020H
17530	1024H
17269	1024N1A1
17270	1024N1A2
17271	1024N1A3
17272	1024N1R1
17302	1024N1R2
17303	1024N1R3
17329	1024N2A1
17330	1024N2A2
17331	1024N2A3
17332	1024N2R1
17333	1024N2R2
17542	1024N2R3
17543	1024N3A1
17544	1024N3A2
17545	1024N3A3
17546	1024N3R1
17547	1024N3R2
16396	10H5I
16411	10H5H
16192	10H5N1A1
16193	10H5N1A2
16194	10H5N1A3
16195	10H5N1R1
16210	10H5N1R2
16211	10H5N1R3
16221	10H5N2A1
16222	10H5N2A2
16223	10H5N2A3
16224	10H5N2R1
16261	10H5N2R2
16262	10H5N2R3
16263	10H5N3A1
16297	10H5N3A2
16298	10H5N3A3
16109	10H5N3R1
16299	10H5N3R2
16407	1101I
16417	1101H
16397	1101N1A1
16398	1101N1A2
16399	1101N1A3
16400	1101N1R1
16401	1101N2A1
16402	1101N2A2
16403	1101N2A3
16404	1101N3A1
16405	1101N3A2
16406	1101N3A3
17551	1111I
17552	1111N1A1
17553	1111N1A2
17554	1111N1A3
17561	1111N1R1
17562	1111N1R2
17563	1111N1R3
17555	1111N2A1
17556	1111N2A2
17557	1111N2A3
17564	1111N2R1
17565	1111N2R2
17566	1111N2R3
17558	1111N3A1
17559	1111N3A2
17560	1111N3A3
17567	1111N3R1
17568	1111N3R2
7925	1122N1A1
7924	1122N1A2
7926	1122N1A3
7942	1122N1R1
7943	1122N1R2
7944	1122N1R3
7927	1122N2A1
7929	1122N2A2
7930	1122N2A3
7962	1122N2R1
7976	1122N2R2
17574	1122N2R3
7931	1122N3A1
7932	1122N3A2
7933	1122N3A3
17575	1122N3R1
17576	1122N3R2
17577	1123N2R1
17578	1123N2R2
17579	1123N2R3
16621	APEXIa
16622	APEXIb
16623	APEXIc
16624	APEXH
16625	APEXN1A1
16626	APEXN1A2
16627	APEXN1A3
16634	APEXN1R1
16635	APEXN1R2
16636	APEXN1R3
16628	APEXN2A1
16629	APEXN2A2
16630	APEXN2A3
16637	APEXN2R1
16638	APEXN2R2
16639	APEXN2R3
16631	APEXN3A1
16632	APEXN3A2
16633	APEXN3A3
16640	APEXN3R1
16641	APEXN3R2
16646	APTPI
16647	APTPH
10097	APTPN1A
10094	APTPN1R1
10095	APTPN1R2
10096	APTPN1R3
10098	APTPN2A
10099	APTPN2R1
16650	APTPN2R2
16648	APTPN2R3
10100	APTPN3A
16649	APTPN3R1
10102	APTPN3R2
16651	UMEXIa
16080	UMEXIb
16652	UMEXIc
16878	UMEXHa
16879	UMEXHb
16880	UMEXN1A1
16881	UMEXN1A2
16882	UMEXN1A3
16889	UMEXN1R1
16890	UMEXN1R2
16891	UMEXN1R3
16883	UMEXN2A1
16884	UMEXN2A2
16885	UMEXN2A3
16892	UMEXN2R1
16893	UMEXN2R2
16894	UMEXN2R3
16886	UMEXN3A1
16887	UMEXN3A2
16888	UMEXN3A3
16895	UMEXN3R1
16896	UMEXN3R2a
16897	UMEXN3R2b
16651	PMEXIa
16080	PMEXIb
16652	PMEXIc
16081	PMEXH
16082	PMEXN1A1
16083	PMEXN1A2
16084	PMEXN1A3
9838	PMEXN1R1
9839	PMEXN1R2
15521	PMEXN1R3
16085	PMEXN2A1
16086	PMEXN2A2
16087	PMEXN2A3
15661	PMEXN2R1
16088	PMEXN2R2
16089	PMEXN2R3
16090	PMEXN3A1
16091	PMEXN3A2
16092	PMEXN3A3
16093	PMEXN3R1
16094	PMEXN3R2a
16095	PMEXN3R2b
16653	MRTPI
16902	COPOIa
16903	COPOIb
16904	COPOIc
16905	COPOId
16906	COPOF1H
16907	COPOF2H
16908	COPOF3H
16909	COPOF4H
16910	COPOF5H
16911	COPOF6H
16912	COPOF7H
16913	COPOH
16914	COPON1A1
16915	COPON1A2
16916	COPON1A3
16922	COPON1R1
16923	COPON1R2
16924	COPON1R3
16917	COPON2A1
16918	COPON2A2
16919	COPON2A3
16925	COPON2R1
16926	COPON2R2
16927	COPON2R3
16920	COPON3A1
15194	COPON3A2
16921	COPON3A3
16928	COPON3R1
16409	COPON3R2
16922	CONPN1R1
